"LANGUAGE","Deutsch","Language name (in native language)."
"LANGUAGE_GAME","Spielsprache verwenden","Default selection in language selection menu."
"NOTE_CLOSE","Schließen","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Nicht erneut anzeigen","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Mod-Konflikt entdeckt!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Das bedeutet, dass die Mod nicht funktioniert und sich deaktiviert hat.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Folgende Mods sind betroffen:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Die Mod war nicht in der Lage, die erforderlichen Harmony-Patches richtig anzuwenden.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Mögliche Ursachen für dieses Problem sind:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Die benötigte Mod Harmony 2 ist nicht installiert","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Ein alter und/oder defekter Mod verhindert, dass Harmony 2 ordnungsgemäß funktioniert","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Eine andere Mod könnte versuchen, einen widersprüchlichen Harmony-Patch anzuwenden","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Schaltet alle 81 Spielbereiche frei.","Mod description displayed in content manager."
"SET_LANGUAGE","Sprache auswählen",
"SNAPPING","Einrasten standardmäßig deaktivieren",
"HOTKEY","Hotkey",
"LEFT_ALT","Linke Alt",
"RIGHT_ALT","Rechts Alt",
"LEFT_COMMAND","Gewinnen/Befehl",
"LEFT_CTRL","Linke Strg",
"RIGHT_CTRL","Rechts Strg",
"LEFT_SHIFT","Linke Umschalttaste",
"RIGHT_SHIFT","Rechte Umschalttaste",
