"LANGUAGE","Español","Language name (in native language)."
"LANGUAGE_GAME","Utilizar idioma del juego","Default selection in language selection menu."
"NOTE_CLOSE","Cerrar","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","No mostrar de nuevo","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Conflicto detectado!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Esto significa que el mod no puede funcionar y se ha desactivado.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Los mods conflictivos son:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","El mod no pudo aplicar los parches de Harmony requeridos.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Las posibles causas del problema son:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","La dependencia del mod Harmony 2 no esta instalada","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Un mod antiguo y/o roto impide que Harmony 2 funcione correctamente","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Otro mod puede estar intentando aplicar un parche de Harmony conflictivo","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Desbloquea todas las 81 celdas de área de juego.","Mod description displayed in content manager."
"SET_LANGUAGE","Elegir idioma",
"SNAPPING","Deshabilitar el ajuste de forma predeterminada",
"HOTKEY","Tecla de acceso rápido",
"LEFT_ALT","Alt izquierdo",
"RIGHT_ALT","Alt derecho",
"LEFT_COMMAND","Ganar/Comandar",
"LEFT_CTRL","Ctrl izquierdo",
"RIGHT_CTRL","Ctrl derecho",
"LEFT_SHIFT","Shift izquierdo",
"RIGHT_SHIFT","Shift derecho",
