"LANGUAGE","Polski","Language name (in native language)."
"LANGUAGE_GAME","Domyślny język","Default selection in language selection menu."
"NOTE_CLOSE","Zamknij","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Nie pokazuj więcej","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Konflikt modyfikacji!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Oznacza to, że mod nie jest w stanie działać i się wyłączył.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Kolidujące mody to:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Modyfikacja nie była w stanie prawidłowo zastosować wymaganych łatek Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Możliwe przyczyny tego problemu to:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Wymagany mod 'Harmony 2' nie został zainstalowany","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Stary i/lub uszkodzony mod blokuje 'Harmony 2' przed prawidłowym działaniem","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Inny modem może spróbować zastosować łatkę Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Odblokowuj wszystkie 81 kafelki mapy.","Mod description displayed in content manager."
"SET_LANGUAGE","Ustaw język"
"SNAPPING","Wyłącz przyciąganie domyślnie",
"HOTKEY","Klawisz skrótu"
"LEFT_ALT","Lewy Alt",
"RIGHT_ALT","Prawy Alt",
"LEFT_COMMAND","Wygraj/Polecenie",
"LEFT_CTRL","Lewy Ctrl",
"RIGHT_CTRL","Prawy Ctrl",
"LEFT_SHIFT","Przesunięcie w lewo",
"RIGHT_SHIFT","Przesunięcie w prawo",
